date,1. open,2. high,3. low,4. close,5. volume
10/29/2011,3.07,4.36,3.07,4.2,118
10/30/2011,3.69,4.4,3.69,3.95,88
10/31/2011,3.85,3.85,3.2,3.5,116
11/1/2011,3.25,3.55,3.2,3.3,68
11/2/2011,3.32,3.33,3.32,3.33,38
11/5/2011,3.27,3.55,3.21,3.55,117
11/6/2011,3.21,3.21,3,3,103
11/7/2011,2.95,2.95,2.95,2.95,203
11/9/2011,3.08,3.08,3.08,3.08,47
11/10/2011,3.09,3.3,3.09,3.3,58
11/11/2011,3.25,3.3,2.95,3.3,121
11/12/2011,3.3,3.3,3.3,3.3,65
11/13/2011,3.35,3.35,3.35,3.35,2
11/14/2011,3.35,3.35,3.35,3.35,29
11/15/2011,2.95,2.95,2.47,2.47,183
11/16/2011,2.99,3,2.5,2.5,97
11/17/2011,2.51,3,2.51,3,5
11/18/2011,3,3,2.5,2.99,17
11/19/2011,2.5,2.79,2.5,2.5,88
11/20/2011,2.5,2.5,2.43,2.43,48
11/21/2011,2.37,2.37,2.37,2.37,11
11/22/2011,2.45,3,2.25,2.25,290
11/23/2011,2.53,2.59,2.46,2.59,328
11/25/2011,2.54,3,2.54,3,9
11/26/2011,2.5,15,2.5,2.75,179
11/27/2011,2.77,2.77,2.77,2.77,10
11/29/2011,2.67,2.78,2.66,2.66,180
11/30/2011,2.69,3.23,2.69,2.72,62
12/1/2011,3.19,3.19,3.19,3.19,14
12/2/2011,3.46,3.48,3.3,3.42,233
12/3/2011,3.45,3.45,3.04,3.04,131
12/4/2011,2.93,2.93,2.93,2.93,0
12/6/2011,2.82,2.99,2.82,2.93,207
12/7/2011,2.9,3.25,2.89,2.98,216
12/8/2011,3.05,3.35,3.05,3.3,233
12/9/2011,3.27,3.5,2.95,3.3,115
12/11/2011,3.2,3.2,3,3.2,12
12/12/2011,3.17,3.37,3.17,3.27,157
12/13/2011,3.37,3.6,3.37,3.48,75
12/14/2011,3.25,3.59,3.25,3.56,66
12/15/2011,3.42,3.49,3.42,3.47,90
12/16/2011,3.39,3.45,3.39,3.45,102
12/17/2011,3.25,3.5,3.25,3.44,84
12/19/2011,3.25,3.5,3.25,3.5,17
12/20/2011,3.5,3.98,3.5,3.85,134
12/21/2011,4.75,4.75,4.53,4.55,94
12/22/2011,4.38,4.38,4.38,4.38,20
12/23/2011,4.19,4.19,4.17,4.17,8
12/24/2011,3.86,4.35,3.84,4.22,149
12/25/2011,4.33,4.33,4.33,4.33,27
12/26/2011,4.32,4.32,4.27,4.27,24
12/27/2011,4.27,4.33,4.27,4.33,56
12/28/2011,4.33,4.33,4.29,4.29,58
12/29/2011,4.29,4.3,4.25,4.3,35
12/30/2011,4.3,4.5,4.3,4.5,36
12/31/2011,4.26,4.5,4.21,4.21,56
1/1/2012,4.39,4.58,4.39,4.58,95
1/2/2012,4.58,5,4.58,5,21
1/3/2012,5,5,5,5,19
1/4/2012,5.32,5.32,5.14,5.29,88
1/5/2012,4.93,5.57,4.93,5.57,107
1/6/2012,5.72,6.65,5.72,6.65,94
1/7/2012,6.65,6.9,6,6,33
1/8/2012,6.8,6.8,6.8,6.8,0
1/9/2012,6.9,7,6.9,7,5
1/10/2012,6.99,6.99,6.23,6.3,66
1/11/2012,6.24,7.14,6.24,7.14,62
1/12/2012,7.14,7.33,6.25,7,105
1/13/2012,6.95,7.38,6.51,6.51,82
1/14/2012,6.8,7.36,6.6,6.6,48
1/15/2012,6.5,6.5,6.3,6.3,16
1/16/2012,7.15,7.15,7.15,7.15,16
1/17/2012,6.2,7.1,6.2,7.1,12
1/18/2012,6.5,6.9,6,6,80
1/19/2012,5.99,7.1,5.99,7.1,133
1/20/2012,5.52,7,5.52,6.22,246
1/21/2012,6.9,6.95,6.55,6.95,95
1/22/2012,6.3,6.77,6.28,6.77,81
1/23/2012,6.79,6.83,6.03,6.79,81
1/24/2012,6.5,6.52,6,6.52,94
1/25/2012,6.52,6.57,6,6.55,85
1/26/2012,6.26,6.86,6,6.31,81
1/27/2012,6.27,6.3,5.5,5.5,29
1/28/2012,3.8,6.03,3.8,5.88,92
1/29/2012,4.91,4.91,4.91,4.91,0
1/30/2012,5.89,5.9,5.3,5.5,9
1/31/2012,5.3,5.58,5.3,5.58,15
2/1/2012,5.7,6.22,3.8,5.3,110
2/2/2012,5.53,5.99,5.52,5.88,12
2/3/2012,5.99,6.28,5.89,6.28,251
2/4/2012,6.29,6.35,5.93,6.3,155
2/5/2012,6.35,6.5,5.94,5.94,67
2/6/2012,5.93,6.15,5.6,5.6,47
2/7/2012,5.6,5.9,5.2,5.6,29
2/8/2012,5.5,5.88,5.5,5.69,165
2/9/2012,5.79,5.87,5.66,5.87,83
2/10/2012,5.52,5.89,5.51,5.89,83
2/11/2012,5.88,5.88,5.8,5.88,176
2/12/2012,5.71,5.71,5.5,5.5,1
2/13/2012,5.78,5.78,5.55,5.67,64
2/14/2012,5.53,5.79,5.5,5.79,99
2/15/2012,5.2,5.8,4.56,4.89,128
2/16/2012,4.9,5.08,4.69,4.69,67
2/17/2012,4.5,4.98,4.15,4.51,115
2/18/2012,4.67,4.8,4.5,4.67,244
2/19/2012,4.67,4.73,4.14,4.23,254
2/20/2012,4.38,4.38,4.3,4.38,92
2/21/2012,4.72,4.72,4.4,4.44,315
2/22/2012,4.52,4.58,4.3,4.58,358
2/23/2012,4.47,4.59,4.46,4.51,75
2/24/2012,4.59,5.22,4.55,5.22,714
2/25/2012,5.12,5.22,4.95,4.95,37
2/26/2012,5.11,5.11,5,5,119
2/27/2012,4.79,5.07,4.78,4.98,40
2/28/2012,4.97,5.1,4.95,5.04,309
2/29/2012,5.09,5.1,4.71,4.88,440
3/1/2012,4.97,5,4.85,4.99,242
3/2/2012,4.99,5.05,4.9,5,291
3/3/2012,4.99,4.99,4.64,4.79,245
3/4/2012,4.81,4.99,4.6,4.65,125
3/5/2012,4.78,4.81,4.77,4.81,113
3/6/2012,4.8,5.06,4.77,5.06,518
3/7/2012,5,5.05,4.95,4.98,296
3/8/2012,5.05,5.09,4.93,4.93,373
3/9/2012,4.94,5.08,4.87,5.01,326
3/10/2012,5.01,5.07,4.93,4.93,277
3/11/2012,4.91,4.99,4.85,4.94,114
3/12/2012,4.94,5,4.84,5,24
3/13/2012,4.85,4.99,4.85,4.99,108
3/14/2012,4.99,5.32,4.96,5.3,734
3/15/2012,5.32,5.44,5.27,5.27,1129
3/16/2012,5.27,5.43,5.27,5.39,633
3/17/2012,5.3,5.41,5.26,5.26,157
3/18/2012,5.38,5.42,5.38,5.42,143
3/19/2012,5.41,5.42,5.24,5.25,412
3/20/2012,5.24,5.37,4.83,4.83,415
3/21/2012,4.82,4.97,4.79,4.79,279
3/22/2012,4.9,4.96,4.9,4.96,9
3/23/2012,4.86,4.98,4.72,4.91,396
3/24/2012,4.73,4.89,4.6,4.78,393
3/25/2012,4.72,4.83,4.62,4.83,191
3/26/2012,4.61,4.84,4.54,4.54,15
3/27/2012,4.6,4.75,4.54,4.73,64
3/28/2012,4.54,4.97,4.54,4.84,369
3/29/2012,4.75,4.95,4.72,4.93,418
3/30/2012,4.93,4.93,4.77,4.84,110
3/31/2012,4.81,4.91,4.76,4.88,161
4/1/2012,4.9,4.92,4.89,4.9,158
4/2/2012,4.89,4.89,4.77,4.89,308
4/3/2012,4.8,5.04,4.78,5.04,888
4/4/2012,5.04,5.04,4.86,4.99,244
4/5/2012,4.92,5.01,4.86,5.01,305
4/6/2012,4.99,5.04,4.89,5,400
4/7/2012,4.9,4.99,4.81,4.99,725
4/8/2012,4.94,4.94,4.7,4.7,228
4/9/2012,4.8,4.8,4.69,4.76,177
4/10/2012,4.7,4.85,4.7,4.75,158
4/11/2012,4.75,4.87,4.75,4.8,314
4/12/2012,4.86,4.92,4.78,4.92,425
4/13/2012,4.87,4.93,4.73,4.93,756
4/14/2012,4.88,4.95,4.81,4.93,1102
4/15/2012,4.94,5.01,4.94,4.96,544
4/16/2012,4.96,4.99,4.92,4.99,114
4/17/2012,4.93,4.98,4.93,4.98,487
4/18/2012,4.99,4.99,4.95,4.98,282
4/19/2012,4.98,5.18,4.98,5.16,839
4/20/2012,5.17,5.18,5.06,5.13,562
4/21/2012,5.15,5.38,5.09,5.38,372
4/22/2012,5.4,5.43,5.19,5.24,301
4/23/2012,5.24,5.25,5.17,5.17,139
4/24/2012,5.2,5.25,5,5,947
4/25/2012,4.99,5.15,4.98,5.08,1975
4/26/2012,5.12,5.14,4.86,5.14,1634
4/27/2012,5.1,5.12,4.86,4.98,762
4/28/2012,5.03,5.08,4.99,5.04,718
4/29/2012,5.07,5.07,4.85,4.91,205
4/30/2012,4.92,4.96,4.81,4.91,62
5/1/2012,4.92,5.02,4.87,5,490
5/2/2012,4.94,5.04,4.86,4.97,831
5/3/2012,5.01,5.15,5.01,5.06,495
5/4/2012,5.06,5.13,5.05,5.1,645
5/5/2012,5.1,5.15,5.07,5.07,776
5/6/2012,5.09,5.11,5.04,5.04,415
5/7/2012,5.06,5.1,5.02,5.08,1234
5/8/2012,5.05,5.08,4.97,5.05,874
5/9/2012,5.06,5.08,4.99,5.02,640
5/10/2012,5.02,5.08,5.01,5.02,350
5/11/2012,5.02,5.04,4.87,4.87,907
5/12/2012,4.97,4.97,4.87,4.95,413
5/13/2012,4.95,4.97,4.91,4.91,219
5/14/2012,4.95,4.95,4.94,4.94,395
5/15/2012,4.93,4.99,4.88,4.93,718
5/16/2012,4.95,5.01,4.9,4.95,601
5/17/2012,5,5.04,4.98,5.04,178
5/18/2012,5.02,5.03,5.01,5.02,611
5/19/2012,5.03,5.07,5.03,5.07,912
5/20/2012,5.08,5.08,5.05,5.07,168
5/21/2012,5.03,5.08,5.03,5.03,26
5/22/2012,5.04,5.09,5.01,5.08,354
5/23/2012,5.05,5.07,5,5.03,678
5/24/2012,5.02,5.1,5.02,5.1,558
5/25/2012,5.08,5.12,5.04,5.12,904
5/26/2012,5.09,5.1,5.08,5.08,274
5/27/2012,5.08,5.09,5.06,5.07,388
5/28/2012,5.08,5.08,5,5.07,913
5/29/2012,5.08,5.08,5.07,5.07,180
5/30/2012,5.07,5.12,4.95,5.11,1341
5/31/2012,5.07,5.14,5.07,5.14,748
6/1/2012,5.14,5.17,5.1,5.17,1102
6/2/2012,5.17,5.24,5.16,5.22,473
6/3/2012,5.2,5.21,5.17,5.19,192
6/4/2012,5.19,5.2,5.19,5.19,14
6/5/2012,5.18,5.24,5.14,5.22,1359
6/6/2012,5.22,5.49,5.22,5.37,929
6/7/2012,5.39,5.49,5.37,5.41,770
6/8/2012,5.41,5.53,5.4,5.53,1412
6/9/2012,5.48,5.63,5.46,5.61,1397
6/10/2012,5.6,5.62,5.47,5.48,353
6/11/2012,5.54,5.54,5.42,5.42,270
6/12/2012,5.48,5.57,5.4,5.52,667
6/13/2012,5.57,5.9,5.53,5.71,9330
6/14/2012,5.77,6,5.71,5.86,1690
6/15/2012,5.86,5.91,5.79,5.9,3236
6/16/2012,5.88,6.42,5.56,6.42,2041
6/17/2012,6.41,6.52,6.12,6.41,1010
6/18/2012,6.41,6.47,6.13,6.19,424
6/19/2012,6.13,6.34,5.98,6.06,2483
6/20/2012,6.13,6.49,6.13,6.46,1389
6/21/2012,6.4,6.65,6.26,6.64,2075
6/22/2012,6.66,6.69,6.64,6.64,480
6/23/2012,6.64,6.67,6.48,6.59,963
6/24/2012,6.6,6.61,6.33,6.45,1137
6/25/2012,6.35,6.45,6.35,6.4,599
6/26/2012,6.35,6.35,6.11,6.26,1956
6/27/2012,6.26,6.46,6.17,6.41,2273
6/28/2012,6.41,6.68,6.34,6.49,11231
6/29/2012,6.49,6.54,5.99,6.5,4266
6/30/2012,6.5,6.63,6.49,6.52,8127
7/1/2012,6.58,6.61,6.5,6.61,828
7/2/2012,6.6,6.62,6.52,6.52,332
7/3/2012,6.55,6.64,6.52,6.61,1792
7/4/2012,6.61,6.66,6.4,6.44,1936
7/5/2012,6.44,6.55,6.36,6.44,2014
7/6/2012,6.52,6.66,6.52,6.6,1406
7/7/2012,6.59,6.6,6.39,6.59,1662
7/8/2012,6.6,6.79,6.56,6.79,1408
7/9/2012,6.8,6.8,6.45,6.73,830
7/10/2012,6.77,6.99,6.55,6.94,1751
7/11/2012,6.95,7.13,6.95,7.08,1495
7/12/2012,7.08,7.15,7.04,7.14,751
7/13/2012,7.15,7.59,7.1,7.59,2325
7/14/2012,7.6,7.69,7.46,7.59,1204
7/15/2012,7.58,7.58,7.44,7.55,717
7/16/2012,7.55,7.57,7.4,7.57,322
7/17/2012,7.57,8.3,7.14,8.3,3680
7/18/2012,8.3,8.8,7.7,8.55,3658
7/19/2012,8.5,9.15,8.36,9,2613
7/20/2012,9.06,9.2,8.76,8.76,2512
7/21/2012,8.76,8.76,7.93,8.44,1378
7/22/2012,8.52,8.91,8.2,8.74,2380
7/23/2012,8.74,8.8,8.3,8.42,1483
7/24/2012,8.42,8.88,8.1,8.59,2585
7/25/2012,8.59,8.8,8.25,8.61,1298
7/26/2012,8.59,8.64,8.24,8.64,1795
7/27/2012,8.64,8.83,8.45,8.75,837
7/28/2012,8.76,8.91,8.76,8.83,687
7/29/2012,8.83,9,8.78,8.88,1498
7/30/2012,8.79,8.79,8.7,8.71,590
7/31/2012,8.7,9,8.54,9,2423
8/1/2012,9,9.28,8.92,9.28,1324
8/2/2012,9.28,9.5,8.9,9.45,2419
8/3/2012,9.45,10.52,9.4,10.44,2209
8/4/2012,10.4,12,10.1,10.79,2419
8/5/2012,10.96,11.2,10.5,10.51,635
8/6/2012,10.93,10.93,10.29,10.71,1906
8/7/2012,10.71,10.99,10.43,10.84,2070
8/8/2012,10.86,10.87,10.72,10.75,1039
8/9/2012,10.75,11.04,10.7,10.99,2746
8/10/2012,11,12.49,10.79,11,2432
8/11/2012,11,11.5,10.9,11.32,2554
8/12/2012,11.32,11.4,11.25,11.38,358
8/13/2012,11.4,11.69,11.34,11.49,838
8/14/2012,11.42,11.98,11.4,11.89,3499
8/15/2012,11.9,12.3,11.81,12.25,1925
8/16/2012,12.13,13.2,12.13,13.01,1592
8/17/2012,13.14,13.5,12.75,13.42,1529
8/18/2012,13.49,16.41,11.5,12.5,4868
8/19/2012,12.64,12.99,11.11,11.54,2511
8/20/2012,11.86,11.86,7.1,8.06,5427
8/21/2012,8.09,10.33,7.86,10.05,3382
8/22/2012,9.79,10.51,9.53,10.18,3384
8/23/2012,9.99,10.71,9.75,9.96,8193
8/24/2012,9.96,10.19,9.78,10.02,2710
8/25/2012,10.03,10.51,9.83,10.37,4170
8/26/2012,10.45,10.58,10.14,10.57,581
8/27/2012,10.57,10.62,10.2,10.31,1412
8/28/2012,10.31,11.93,10.31,10.78,4283
8/29/2012,10.9,11.21,10.63,11,2970
8/30/2012,11,11.05,10.49,10.78,4768
8/31/2012,10.81,10.91,10.51,10.65,1513
9/1/2012,10.65,10.8,9.69,10.16,2915
9/2/2012,10.2,10.2,9.85,9.91,665
9/3/2012,10.07,10.18,9.49,10.18,1340
9/4/2012,10.17,10.55,9.95,10.55,1166
9/5/2012,10.36,10.5,10.14,10.36,2649
9/6/2012,10.38,10.99,10.12,10.99,1870
9/7/2012,10.9,11.15,10.68,11.02,3296
9/8/2012,11.03,11.1,10.83,11.03,1351
9/9/2012,10.98,11.11,10.3,10.97,1355
9/10/2012,10.97,11.04,10.84,10.98,1216
9/11/2012,10.85,11.08,10.74,10.95,2492
9/12/2012,10.95,11.04,10.38,11.04,4794
9/13/2012,11.04,11.14,10.75,11.14,2414
9/14/2012,11.17,11.42,10.98,11.3,2138
9/15/2012,11.26,11.7,11.05,11.5,2127
9/16/2012,11.6,11.65,11.35,11.63,594
9/17/2012,11.63,11.8,11.53,11.75,1287
9/18/2012,11.75,11.88,11.58,11.85,689
9/19/2012,11.85,12.28,11.67,11.91,3735
9/20/2012,11.9,12.5,11.9,12.32,1251
9/21/2012,12.44,12.66,12.28,12.28,767
9/22/2012,12.29,12.35,12.01,12.19,1990
9/23/2012,12.14,12.25,11.97,11.97,818
9/24/2012,12.11,12.11,11.79,11.99,1084
9/25/2012,11.99,11.99,11.69,11.9,1523
9/26/2012,11.9,12.18,11.56,11.75,3057
9/27/2012,11.8,12.2,11.53,12.2,3038
9/28/2012,12.2,12.38,11.84,12.22,3306
9/29/2012,12.21,12.28,11.53,12.28,2842
9/30/2012,12.28,12.28,12.12,12.28,584
10/1/2012,12.2,12.28,12.17,12.22,173
10/2/2012,12.21,12.27,11.6,12.14,3151
10/3/2012,12.2,12.7,12.14,12.64,4634
10/4/2012,12.63,12.99,12.45,12.9,4948
10/5/2012,12.9,12.9,12.51,12.57,3211
10/6/2012,12.61,12.7,11.5,12.5,5459
10/7/2012,12.51,12.6,12.06,12.39,1640
10/8/2012,12.39,12.45,11.52,11.71,3262
10/9/2012,11.7,11.99,10.42,11.62,2885
10/10/2012,11.62,12.26,11.52,11.99,1933
10/11/2012,11.85,12.25,11.79,12.24,2369
10/12/2012,12.1,12.13,11.58,12.09,2349
10/13/2012,11.95,12.1,11.81,11.9,735
10/14/2012,11.9,12,11.81,11.85,486
10/15/2012,11.85,11.9,11.79,11.79,336
10/16/2012,11.78,11.84,11.03,11.66,3425
10/17/2012,11.8,11.94,11.17,11.92,1004
10/18/2012,11.79,11.97,11.15,11.88,3020
10/19/2012,11.9,11.9,11.55,11.8,1277
10/20/2012,11.75,11.84,11.5,11.67,10149
10/21/2012,11.65,11.7,11.53,11.6,704
10/22/2012,11.6,11.68,11.29,11.32,2048
10/23/2012,11.54,11.57,11.27,11.49,1913
10/24/2012,11.5,11.7,11.25,11.58,2717
10/25/2012,11.38,11.62,11.01,11.4,3180
10/26/2012,11.39,11.39,10.4,10.55,3077
10/27/2012,10.46,10.84,9.68,10,2384
10/28/2012,10,10.75,9.5,10.43,1989
10/29/2012,10.35,10.75,10.3,10.54,972
10/30/2012,10.67,10.8,10.32,10.8,2655
10/31/2012,10.8,10.81,10.43,10.8,2780
11/1/2012,10.79,11,10.66,11,3057
11/2/2012,11,11.05,10.63,10.85,1726
11/3/2012,10.85,10.96,10.45,10.67,2477
11/4/2012,10.54,10.69,10.41,10.66,1572
11/5/2012,10.67,10.68,10.4,10.64,2010
11/6/2012,10.63,10.8,10.5,10.78,5531
11/7/2012,10.78,10.8,10.51,10.74,3348
11/8/2012,10.68,10.84,10.45,10.8,4028
11/9/2012,10.65,10.83,10.25,10.81,2930
11/10/2012,10.69,10.84,10.61,10.8,2342
11/11/2012,10.8,10.87,10.63,10.81,1074
11/12/2012,10.82,10.85,10.64,10.82,650
11/13/2012,10.78,10.92,10.72,10.87,1146
11/14/2012,10.92,10.99,10.76,10.87,2565
11/15/2012,10.87,10.98,10.74,10.97,1294
11/16/2012,10.98,11.05,10.81,11.05,2452
11/17/2012,11.05,11.6,10.96,11.46,7094
11/18/2012,11.48,11.65,11.45,11.57,795
11/19/2012,11.56,11.65,11.32,11.51,1033
11/20/2012,11.51,11.65,11.03,11.65,4206
11/21/2012,11.6,11.69,11.44,11.65,2524
11/22/2012,11.64,11.67,11.34,11.67,3449
11/23/2012,11.67,12.12,11.55,11.88,10030
11/24/2012,11.86,12.16,11.66,12.16,2085
11/25/2012,12.16,12.29,12.06,12.25,1378
11/26/2012,12.29,12.35,12.2,12.31,1110
11/27/2012,12.32,12.4,12.11,12.2,4569
11/28/2012,12.2,12.23,11.75,12.07,3692
11/29/2012,12.01,12.74,11.93,12.22,4332
11/30/2012,12.22,12.41,12.1,12.37,3553
12/1/2012,12.35,12.45,12.2,12.43,3472
12/2/2012,12.39,12.46,12.31,12.34,2513
12/3/2012,12.44,12.46,12.24,12.42,1741
12/4/2012,12.46,12.6,12.32,12.6,5124
12/5/2012,12.5,13.01,12.42,12.59,5524
12/6/2012,12.86,13.43,12.63,13.2,3202
12/7/2012,13.2,13.59,13.02,13.45,4479
12/8/2012,13.34,13.48,13.11,13.37,3494
12/9/2012,13.3,13.37,13.3,13.36,509
12/10/2012,13.35,13.36,13.1,13.29,1187
12/11/2012,13.3,13.4,13.03,13.3,6444
12/12/2012,13.13,13.41,13.13,13.35,2641
12/13/2012,13.39,13.49,13.23,13.49,3925
12/14/2012,13.49,13.52,13.05,13.52,5259
12/15/2012,13.51,13.94,13.38,13.51,5949
12/16/2012,13.51,13.57,13.28,13.38,1531
12/17/2012,13.38,13.44,13.27,13.27,1217
12/18/2012,13.28,13.29,12.85,13.2,5313
12/19/2012,13.3,13.62,12.75,13.13,5416
12/20/2012,13.13,13.4,13,13.4,4893
12/21/2012,13.27,13.44,13.14,13.35,1866
12/22/2012,13.38,13.41,13.2,13.2,2559
12/23/2012,13.28,13.37,13.11,13.2,870
12/24/2012,13.2,13.29,13.04,13.14,518
12/25/2012,13.11,13.24,13.01,13.23,1511
12/26/2012,13.23,13.25,13.09,13.24,1136
12/27/2012,13.09,13.19,13.01,13.18,2247
12/28/2012,13.18,13.25,12.91,13.2,3347
12/29/2012,13.19,13.29,13.01,13.18,4176
12/30/2012,13.18,13.28,13.11,13.22,274
12/31/2012,13.13,13.29,13.1,13.2,1020
1/1/2013,13.2,13.29,13.05,13.24,1641
1/2/2013,13.24,13.24,12.77,13.22,2116
1/3/2013,13.12,13.19,12.98,13.09,1840
1/4/2013,13.09,13.26,12.96,13.19,3320
1/5/2013,13.12,13.24,12.84,13.19,2700
1/6/2013,13.19,13.19,13.03,13.15,1463
1/7/2013,13.11,13.15,13.06,13.15,453
1/8/2013,13.1,13.2,13.04,13.2,3935
1/9/2013,13.2,13.5,13.05,13.5,6086
1/10/2013,13.51,13.65,13.18,13.58,4640
1/11/2013,13.67,14.19,13.5,14,3719
1/12/2013,14,14.1,13.85,14,2405
1/13/2013,14.02,14.07,13.84,13.89,2245
1/14/2013,13.94,14.03,13.54,13.64,1578
1/15/2013,13.65,14.1,13.5,14.1,4314
1/16/2013,14.1,14.32,13.88,14.2,4961
1/17/2013,14.15,14.65,14.01,14.53,5436
1/18/2013,14.53,15.47,14.45,15.36,5227
1/19/2013,15.34,15.7,15.17,15.57,6749
1/20/2013,15.52,15.65,15.32,15.38,1993
1/21/2013,15.48,15.69,15.38,15.5,1427
1/22/2013,15.62,16.98,15.45,16.52,5634
1/23/2013,16.53,17.6,16.45,17.35,3827
1/24/2013,17.5,17.6,16.86,17.5,4853
1/25/2013,17.5,19.2,16,17.29,14880
1/26/2013,17.15,17.72,16.12,17.49,5131
1/27/2013,17.3,17.49,16.67,17.49,2485
1/28/2013,17.49,17.6,17.08,17.6,2589
1/29/2013,17.6,18.74,17.48,18.67,5344
1/30/2013,18.6,19.85,18.53,19.35,4541
1/31/2013,19.46,19.47,18.85,19.45,2557
2/1/2013,19.45,21,19.27,20.46,5738
2/2/2013,20.3,20.9,20.04,20.35,3503
2/3/2013,20.35,20.53,19.5,19.82,4786
2/4/2013,19.76,20.59,19.57,20.29,2479
2/5/2013,20.55,20.7,19.9,20.3,4506
2/6/2013,20.3,20.69,20.08,20.5,3193
2/7/2013,20.56,20.99,20.33,20.91,3424
2/8/2013,20.91,21.96,20.9,21.71,6307
2/9/2013,21.95,22.63,21.81,22.4,2801
2/10/2013,22.4,23.5,22.24,23.14,2134
2/11/2013,23.46,23.8,22.85,23.7,2194
2/12/2013,23.74,23.94,23.16,23.94,2978
2/13/2013,23.94,25.85,23.87,25.47,8534
2/14/2013,25.33,25.97,25,25,3983
2/15/2013,25,27.5,22.42,27.4,12042
2/16/2013,27.4,27.56,26.72,27,3145
2/17/2013,27.43,27.58,26.71,27.5,2782
2/18/2013,27.36,27.5,25.25,26.98,7942
2/19/2013,26.81,27,26.29,26.92,3103
2/20/2013,26.92,29.5,26.7,29.39,9541
2/21/2013,29.39,30.07,29.21,30,3832
2/22/2013,30,30.14,29.6,30,3576
2/23/2013,29.96,31.49,29.9,30.4,6182
2/24/2013,30.37,30.44,27.67,29.54,3865
2/25/2013,29.55,30.37,29.08,29.78,1590
2/26/2013,29.79,30.49,29.78,30.43,1564
2/27/2013,30.43,32,29.85,31.1,5071
2/28/2013,31.01,31.77,30.45,31.31,3168
3/1/2013,31.31,34.42,31.31,33.53,6726
3/2/2013,33.53,34.75,33.25,34.55,3666
3/3/2013,34.55,34.77,33.6,34.16,2128
3/4/2013,34.29,34.34,33.91,34.33,1136
3/5/2013,34.33,37,34.24,36.52,6165
3/6/2013,36.56,41,36.53,40.75,6476
3/7/2013,40.66,49.17,40.66,42.32,10298
3/8/2013,42.31,46,33,41.68,16259
3/9/2013,41.68,44.37,40.56,43.76,4388
3/10/2013,43.77,46,42,46,3829
3/11/2013,45.76,47,45,45.29,1252
3/12/2013,45.97,48.38,45.6,48.25,3400
3/13/2013,48.15,48.25,36,44.84,11195
3/14/2013,44.29,47.09,44.2,46.99,3290
3/15/2013,46.99,47.97,46.8,46.95,3527
3/16/2013,46.95,47.29,46.9,46.9,1063
3/17/2013,46.93,47,46.58,46.74,909
3/18/2013,46.7,47.24,46.7,47.24,1102
3/19/2013,47.24,51.1,46.98,50.35,5924
3/20/2013,49.87,60,48,59.41,9303
3/21/2013,59.46,67.99,58.86,64.2,8546
3/22/2013,65.13,76.91,64.61,72.23,9864
3/23/2013,70.87,74.47,65,69.9,5462
3/24/2013,68.81,72,50.09,63.9,13092
3/25/2013,64.37,71,63.36,70.22,3627
3/26/2013,70.22,80,69.25,75.11,8198
